"ENG.MATERIAIS1","MAT0064 - CALCULO I",3,50
"ENG.MATERIAIS1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50
"ENG.MATERIAIS2","EMAT0222 - ESTÁTICA",2,50,
"ENG.MATERIAIS2","EMAT0223 - QUÍMICA DE MATERIAIS A",2,50,
"ENG.MATERIAIS2","ENCIV0105 - DESENHO TÉCNICO",2,50,
"ENG.MATERIAIS2","FISI0149 - FÍSICA A",2,50,
"ENG.MATERIAIS2","MAT0065 - CÁLCULO II",3,50,
"ENG.MATERIAIS4","EMAT0226 - CIÊNCIA DOS MATERIAIS II",2,50,
"ENG.MATERIAIS4","EMAT0227 - CINÉTICA DE MATERIAIS",2,50,
"ENG.MATERIAIS4","EMAT0228 - QUÍMICA DE MATERIAIS B",2,50,
"ENG.MATERIAIS4","FISI0151 - FÍSICA C",2,50,
"ENG.MATERIAIS4","MAT0075 - CÁLCULO IV",3,50,
"ENG.MATERIAIS5","ENMEC0108 - METROLOGIA",2,50,
"ENG.MATERIAIS6","EMAT0234 - CARACTERIZAÇÃO DE MATERIAIS",2,50,
"ENG.MATERIAIS6","EMAT0235 - ENSAIOS MECÂNICOS",2,50,
"ENG.MATERIAIS6","EMAT0236 - PROCESSAMENTO DE CERÂMICAS",2,50,
"ENG.MATERIAIS6","EMAT0237 - PROCESSAMENTO DE POLÍMEROS",2,50,
"ENG.MATERIAIS6","EMAT0238 - TRATAMENTO TÉRMICO",2,50, 
"ENG.MATERIAIS6","EQUI0093 - OPERAÇÕES UNITÁRIAS IV",2,50,
"ENG.MATERIAIS6","EQUI0100 - FENÔMENOS DO TRANSPORTE II",2,50,
"ENG.MATERIAIS8","EMAT0243 - ENSAIOS NÃO-DESTRUTIVOS E INSPEÇÃO",2,50,
"ENG.MATERIAIS8","EMAT0244 - BIOMATERIAIS",2,50,
"ENG.MATERIAIS8","EMAT0245 - ANÁLISE DE FALHAS",2,50,
"ENG.MATERIAIS8","EMAT0246 - MATERIAIS COMPÓSITOS",2,50,
"ENG.MATERIAIS8","EMAT0247 - CORROSÃO E DEGRADAÇÃO",2,50,
"ENG.AMBIENTAL 1","MAT0064 - CÁLCULO I",3,50,
"ENG.AMBIENTAL 1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50,
"ENG.AMBIENTAL 2","ENCIV0108 - EXPRESSÃO GRÁFICA II",3,50,
"ENG.AMBIENTAL 2","ESTAT0011 - ESTATISTICA APLICADA",2,50,
"ENG.AMBIENTAL 2","FISI0149 - FÍSICA A",2,50,
"ENG.AMBIENTAL 2","FISI0152 - LABORATÓRIO DE FÍSICA A",1,30,
"ENG.AMBIENTAL 2","MAT0065 - CÁLCULO II",3,50,
"ENG.AMBIENTAL 3","ENCIV0075 - RESISTÊNCIA DOS MATERIAIS",2,50,
"ENG.AMBIENTAL 3","FISI0150 - FÍSICA B",2,50,
"ENG.AMBIENTAL 3","FISI0153 - LABORATÓRIO DE FÍSICA B",1,30,
"ENG.AMBIENTAL 3","MAT0066 - CÁLCULO III",2,50,
"ENG.AMBIENTAL 4","ENAMB0019 - TERMODINAMICA PARA ENGENHARIA AMBIENTAL",3,50,
"ENG.AMBIENTAL 4","ENAMB0036 - LEGISLAÇÃO AMBIENTAL E ÉTICA PROFISSIONAL",2,50,
"ENG.AMBIENTAL 4","ENCIV0096 - TOPOGRAFIA I",2,50,
"ENG.AMBIENTAL 4","EQUI0094 - MECÂNICA DOS FLUIDOS",3,50,
"ENG.AMBIENTAL 4","FISI0151 - FÍSICA C",2,50,
"ENG.AMBIENTAL 4","FISI0154 - LABORATÓRIO DE FÍSICA C",1,30,
"ENG.AMBIENTAL 4","MAT0096 - CÁLCULO NUMÉRICO I",2,50,
"ENG.AMBIENTAL 6","ENAMB0003 - GEOPROCESSAMENTO APLICADO À ENGENHARIA AMBIENTAL",2,50,
"ENG.AMBIENTAL 6","ENAMB0041 - CINÉTICA DE PROCESSOS AMBIENTAIS",3,50,
"ENG.AMBIENTAL 6","ENAMB0042 - HIDROLOGIA APLICADA À ENGENHARIA AMBIENTAL",2,50,
"ENG.AMBIENTAL 6","ENAMB0043 - SANEAMENTO E ENGENHARIA AMBIENTAL",3,50,
"ENG.AMBIENTAL 6","ENAMB0044 - PROCESSOS DE SEPARAÇÃO EM ENGENHARIA AMBIENTAL",2,50,
"ENG.AMBIENTAL 8","ENAMB0049 - PROJETOS DE REDES DE ABASTECIMENTO D'ÁGUA ESGOTAMENTO E DRENAGEM",2,50,
"ENG.AMBIENTAL 8","ENAMB0050 - RECUPERAÇÃO DE ÁREAS DEGRADADAS",2,50,
